"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83746099999","2011-07-18T02:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","260,1,N,0051,1","99999,9,9,Y","009900,1,N,1","+0210,1","+0180,1","99999,9",,,,,,,,"10169,1,99999,9",,,,,"MET045METAR SBGL 180200Z 26010KT CAVOK 21/18 Q1017;",
"83746099999","2011-07-18T03:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","270,1,N,0041,1","99999,9,9,Y","009900,1,N,1","+0200,1","+0180,1","99999,9",,,,,,,,"10169,1,99999,9",,,,,"MET045METAR SBGL 180300Z 27008KT CAVOK 20/18 Q1017;",
"83746099999","2011-07-18T04:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","300,1,N,0031,1","22000,1,9,N","009000,1,N,1","+0200,1","+0180,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET048METAR SBGL 180400Z 30006KT 9000 NSC 20/18 Q1017;","Q01    003SCCGA1"
"83746099999","2011-07-18T05:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","260,1,N,0041,1","22000,1,9,N","009000,1,N,1","+0210,1","+0180,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET048METAR SBGL 180500Z 26008KT 9000 NSC 21/18 Q1017;","Q01    003SCCGA1"
"83746099999","2011-07-18T06:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","270,1,N,0031,1","22000,1,9,N","009000,1,N,1","+0210,1","+0170,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET048METAR SBGL 180600Z 27006KT 9000 NSC 21/17 Q1017;","Q01    003SCCGA1"
"83746099999","2011-07-18T07:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","280,1,N,0026,1","22000,1,9,N","008000,1,N,1","+0200,1","+0170,1","99999,9",,"04,1,+00450,1,99,9",,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET051METAR SBGL 180700Z 28005KT 8000 SCT015 20/17 Q1017;",
"83746099999","2011-07-18T08:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","360,1,N,0015,1","22000,1,9,N","008000,1,N,1","+0200,1","+0170,1","99999,9",,"04,1,+00390,1,99,9",,,,"04,99,1,99,9,99,9,99999,9,99,9,99,9",,"10159,1,99999,9",,,,,"MET051METAR SBGL 180800Z 36003KT 8000 SCT013 20/17 Q1016;",
"83746099999","2011-07-18T09:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","290,1,N,0010,1","00540,1,9,N","008000,1,N,1","+0190,1","+0170,1","99999,9",,"07,1,+00540,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,,,"MET051METAR SBGL 180900Z 29002KT 8000 BKN018 19/17 Q1017;",
"83746099999","2011-07-18T09:42:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-16","SBGL ","V020","340,1,N,0015,1","00450,1,9,N","004000,1,N,1","+0180,1","+0160,1","99999,9",,"07,1,+00450,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","10,1",,,,"MET054SPECI SBGL 180942Z 34003KT 4000 BR BKN015 18/16 Q1017;",
"83746099999","2011-07-18T10:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","010,1,N,0015,1","00450,1,9,N","004000,1,N,1","+0190,1","+0170,1","99999,9",,"07,1,+00450,1,99,9",,,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9","10,1",,,,"MET054METAR SBGL 181000Z 01003KT 4000 BR BKN015 19/17 Q1017;",
