"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"83075099999","2020-01-01T22:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","260,1,N,0051,1","01829,1,9,N","009000,1,9,9","+0240,1","+0210,1","99999,9","04,1,+01524,1,09,1","07,1,+01829,1,99,9","07,1,+03048,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,01524,1,99,9,99,9","10100,1,99999,9","97,1",,"0144,1","MET083METAR SBGR 012200Z 26010G28KT 9000 3500SW +TSRA SCT050CB BKN060 BKN100 24/21 Q1010=",
"83075099999","2020-01-01T22:20:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","150,1,N,0015,1","00640,1,C,N","008000,1,9,9","+0210,1","+0200,1","99999,9","07,1,+00640,1,99,9","04,1,+01006,1,09,1","07,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00640,1,99,9,99,9","10110,1,99999,9","95,1",,,"MET078SPECI SBGR 012220Z 15003KT 8000 -TSRA BKN021 SCT033CB BKN070 21/20 Q1011 RERA=",
"83075099999","2020-01-01T23:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","080,1,N,0026,1","01067,1,C,N","008000,1,9,9","+0210,1","+0210,1","99999,9","07,1,+01067,1,99,9","02,1,+01219,1,09,1","07,1,+03048,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01067,1,99,9,99,9","10110,1,99999,9","95,1",,,"MET078METAR SBGR 012300Z 08005KT 8000 -TSRA BKN035 FEW040CB BKN100 21/21 Q1011 RERA=",
"83075099999","2020-01-02T00:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","020,1,N,0051,1","00335,1,C,N","008000,1,9,9","+0210,1","+0210,1","99999,9","07,1,+00335,1,99,9","02,1,+01219,1,09,1","07,1,+03048,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00335,1,99,9,99,9","10130,1,99999,9","95,1",,,"MET073METAR SBGR 020000Z 02010KT 8000 -TSRA BKN011 FEW040CB BKN100 21/21 Q1013=",
"83075099999","2020-01-02T01:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","100,1,N,0015,1","01372,1,C,N","007000,1,9,9","+0210,1","+0210,1","99999,9","07,1,+01372,1,99,9","07,1,+03048,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01372,1,99,9,99,9","10130,1,99999,9","61,1",,,"MET067METAR SBGR 020100Z 10003KT 7000 -RA BKN045 BKN100 21/21 Q1013 RETS=",
"83075099999","2020-01-02T02:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","360,1,N,0026,1","22000,1,9,N","009999,1,9,9","+0210,1","+0200,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10120,1,99999,9","61,1",,,"MET052METAR SBGR 020200Z 36005KT 9999 -RA NSC 21/20 Q1012=",
"83075099999","2020-01-02T03:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0210,1","+0210,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10120,1,99999,9","61,1",,,"MET052METAR SBGR 020300Z 00000KT 9999 -RA NSC 21/21 Q1012=",
"83075099999","2020-01-02T04:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","050,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0220,1","+0200,1","99999,9",,,,,,,"10110,1,99999,9",,,,"MET045METAR SBGR 020400Z 05005KT CAVOK 22/20 Q1011=",
"83075099999","2020-01-02T05:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","090,1,N,0010,1","99999,9,9,Y","009900,5,9,9","+0210,1","+0200,1","99999,9",,,,,,,"10100,1,99999,9",,,,"MET045METAR SBGR 020500Z 09002KT CAVOK 21/20 Q1010=",
"83075099999","2020-01-02T06:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,Y","009900,5,9,9","+0210,1","+0200,1","99999,9",,,,,,,"10100,1,99999,9",,,,"MET046METAR SBGR 020600Z 090002KT CAVOK 21/20 Q1010=",
"83075099999","2020-01-02T07:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","080,1,N,0010,1","99999,9,9,Y","009900,5,9,9","+0210,1","+0210,1","99999,9",,,,,,,"10100,1,99999,9",,,,"MET045METAR SBGR 020700Z 08002KT CAVOK 21/21 Q1010=",
"83075099999","2020-01-02T08:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","100,1,N,0010,1","99999,9,9,Y","009900,5,9,9","+0210,1","+0210,1","99999,9",,,,,,,"10100,1,99999,9",,,,"MET045METAR SBGR 020800Z 10002KT CAVOK 21/21 Q1010=",
"83075099999","2020-01-02T09:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","080,1,N,0015,1","99999,9,9,Y","009900,5,9,9","+0210,1","+0200,1","99999,9",,,,,,,"10110,1,99999,9",,,,"MET045METAR SBGR 020900Z 08003KT CAVOK 21/20 Q1011=",
"83075099999","2020-01-02T10:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","040,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0210,1","+0210,1","99999,9",,,,,,,"10120,1,99999,9",,,,"MET045METAR SBGR 021000Z 04004KT CAVOK 21/21 Q1012=",
"83075099999","2020-01-02T11:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","03048,1,9,N","009999,1,9,9","+0220,1","+0210,1","99999,9","04,1,+00914,1,99,9","08,1,+03048,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00914,1,99,9,99,9","10120,1,99999,9","61,1",,,"MET062METAR SBGR 021100Z 00000KT 9999 -RA SCT030 OVC100 22/21 Q1012=",
"83075099999","2020-01-02T12:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","050,1,N,0015,1","01524,1,9,N","009999,1,9,9","+0230,1","+0200,1","99999,9","04,1,+00610,1,99,9","07,1,+01524,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10120,1,99999,9",,,,"MET058METAR SBGR 021200Z 05003KT 9999 SCT020 BKN050 23/20 Q1012=",
"83075099999","2020-01-02T13:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","090,1,N,0015,1","01524,1,9,N","009999,1,9,9","+0250,1","+0200,1","99999,9","02,1,+01219,1,99,9","07,1,+01524,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10120,1,99999,9",,,,"MET058METAR SBGR 021300Z 09003KT 9999 FEW040 BKN050 25/20 Q1012=",
"83075099999","2020-01-02T14:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","270,1,N,0015,1","02499,1,9,N","009999,1,9,9","+0260,1","+0210,1","99999,9","02,1,+01219,1,99,9","07,1,+02499,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10120,1,99999,9",,,,"MET058METAR SBGR 021400Z 27003KT 9999 FEW040 BKN082 26/21 Q1012=",
"83075099999","2020-01-02T15:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","280,1,N,0026,1","00792,1,C,N","009999,1,9,9","+0270,1","+0200,1","99999,9","07,1,+00792,1,99,9","07,1,+02499,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00792,1,99,9,99,9","10120,1,99999,9",,,,"MET058METAR SBGR 021500Z 28005KT 9999 BKN026 BKN082 27/20 Q1012=",
"83075099999","2020-01-02T16:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","260,1,N,0031,1","99999,9,9,N","009999,1,9,9","+0270,1","+0210,1","99999,9","04,1,+00914,1,99,9","02,1,+01067,1,08,1",,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00914,1,99,9,99,9","10110,1,99999,9",,,,"MET061METAR SBGR 021600Z 26006KT 9999 SCT030 FEW035TCU 27/21 Q1011=",
"83075099999","2020-01-02T17:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","240,1,N,0031,1","01006,1,C,N","009999,1,9,9","+0280,1","+0210,1","99999,9","07,1,+01006,1,99,9","02,1,+01219,1,08,1","07,1,+03048,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01006,1,99,9,99,9","10100,1,99999,9",,,,"MET068METAR SBGR 021700Z 24006KT 9999 BKN033 FEW040TCU BKN100 28/21 Q1010=",
"83075099999","2020-01-02T18:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","160,1,N,0046,1","01372,1,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9","04,1,+00610,1,99,9","02,1,+01219,1,09,1","07,1,+01372,1,99,9","07,1,+02499,1,99,9","9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10100,1,99999,9","95,1",,,"MET087METAR SBGR 021800Z 16009KT 9000 4000NW -TSRA SCT020 FEW040CB BKN045 BKN082 25/22 Q1010=",
"83075099999","2020-01-02T19:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","110,1,N,0036,1","00427,1,C,N","009000,1,9,9","+0240,1","+0210,1","99999,9","07,1,+00427,1,99,9","02,1,+01219,1,09,1","07,1,+02438,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00427,1,99,9,99,9","10100,1,99999,9","95,1",,,"MET080METAR SBGR 021900Z 11007KT 9000 3500NE -TSRA BKN014 FEW040CB BKN080 24/21 Q1010=",
"83075099999","2020-01-02T19:30:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","340,1,N,0026,1","00152,1,C,N","005000,1,9,9","+0220,1","+0220,1","99999,9","07,1,+00152,1,99,9","04,1,+01219,1,09,1","08,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00152,1,99,9,99,9","10110,1,99999,9","10,1","97,1",,"MET087SPECI SBGR 021930Z 34005KT 5000 2000W +TSRA BR BKN005 SCT040CB OVC070 22/22 Q1011 RERA=",
"83075099999","2020-01-02T20:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","010,1,N,0041,1","00152,1,C,N","001800,1,9,9","+0200,1","+0200,1","99999,9","07,1,+00152,1,99,9","04,1,+01219,1,09,1","08,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00152,1,99,9,99,9","10110,1,99999,9","97,1",,,"MET122METAR SBGR 022000Z 01008KT 1800 R09L/0800D R27R/1000D R27L/1100D R09R/1400D +TSRA BKN005 SCT040CB OVC070 20/20 Q1011 RERA=",
"83075099999","2020-01-02T20:10:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","060,1,N,0026,1","00335,1,C,N","006000,1,9,9","+0200,1","+0200,1","99999,9","07,1,+00335,1,99,9","02,1,+01219,1,09,1","08,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00335,1,99,9,99,9","10110,1,99999,9","95,1",,,"MET078SPECI SBGR 022010Z 06005KT 6000 -TSRA BKN011 FEW040CB OVC070 20/20 Q1011 RERA=",
"83075099999","2020-01-02T21:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","00183,1,C,N","006000,1,9,9","+0210,1","+0210,1","99999,9","07,1,+00183,1,99,9","02,1,+01219,1,09,1","08,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00183,1,99,9,99,9","10110,1,99999,9","95,1",,,"MET078METAR SBGR 022100Z 00000KT 6000 -TSRA BKN006 FEW040CB OVC070 21/21 Q1011 RERA=",
"83075099999","2020-01-02T21:10:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","280,1,N,0015,1","00183,1,C,N","002500,1,9,9","+0210,1","+0210,1","99999,9","07,1,+00183,1,99,9","02,1,+01219,1,09,1","08,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00183,1,99,9,99,9","10120,1,99999,9","10,1","97,1",,"MET081SPECI SBGR 022110Z 28003KT 2500 +TSRA BR BKN006 FEW040CB OVC070 21/21 Q1012 RERA=",
"83075099999","2020-01-02T22:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","360,1,N,0031,1","00152,1,C,N","007000,1,9,9","+0200,1","+0200,1","99999,9","07,1,+00152,1,99,9","02,1,+01219,1,09,1","08,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00152,1,99,9,99,9","10130,1,99999,9","95,1",,,"MET077METAR SBGR 022200Z 36006KT 7000 TSRA BKN005 FEW040CB OVC070 20/20 Q1013 RERA=",
"83075099999","2020-01-02T22:35:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","130,1,N,0021,1","00274,1,C,N","009999,1,9,9","+0200,1","+0200,1","99999,9","07,1,+00274,1,99,9","02,1,+01219,1,09,1","08,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00274,1,99,9,99,9","10130,1,99999,9","95,1",,,"MET078SPECI SBGR 022235Z 13004KT 9999 -TSRA BKN009 FEW040CB OVC070 20/20 Q1013 RERA=",
"83075099999","2020-01-02T23:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","120,1,N,0015,1","00335,1,C,N","006000,1,9,9","+0200,1","+0200,1","99999,9","07,1,+00335,1,99,9","02,1,+01219,1,09,1","08,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00335,1,99,9,99,9","10140,1,99999,9","97,1",,,"MET078METAR SBGR 022300Z 12003KT 6000 +TSRA BKN011 FEW040CB OVC070 20/20 Q1014 RERA=",
"83075099999","2020-01-02T23:22:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","040,1,N,0026,1","00244,1,C,N","009000,1,9,9","+0200,1","+0200,1","99999,9","07,1,+00244,1,99,9","02,1,+01219,1,09,1","08,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00244,1,99,9,99,9","10140,1,99999,9","95,1",,,"MET077SPECI SBGR 022322Z 04005KT 9000 TSRA BKN008 FEW040CB OVC070 20/20 Q1014 RERA=",
"83075099999","2020-01-03T00:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","350,1,N,0015,1","00610,1,C,N","009999,1,9,9","+0200,1","+0200,1","99999,9","07,1,+00610,1,99,9","02,1,+01219,1,09,1","08,1,+02134,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00610,1,99,9,99,9","10140,1,99999,9","95,1",,,"MET077METAR SBGR 030000Z 35003KT 9999 TSRA BKN020 FEW040CB OVC070 20/20 Q1014 RERA=",
"83075099999","2020-01-03T00:45:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","220,1,N,0015,1","00335,1,C,N","009999,1,9,9","+0200,1","+0200,1","99999,9","07,1,+00335,1,99,9","08,1,+02438,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00335,1,99,9,99,9","10140,1,99999,9","61,1",,,"MET069SPECI SBGR 030045Z 22003KT 9999 -RA BKN011 OVC080 20/20 Q1014 RETSRA=",
"83075099999","2020-01-03T01:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","160,1,N,0021,1","00274,1,C,N","009999,1,9,9","+0200,1","+0200,1","99999,9","07,1,+00274,1,99,9","08,1,+02438,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00274,1,99,9,99,9","10140,1,99999,9","61,1",,,"MET069METAR SBGR 030100Z 16004KT 9999 -RA BKN009 OVC080 20/20 Q1014 RETSRA=",
"83075099999","2020-01-03T02:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","130,1,N,0015,1","00213,1,C,N","009999,1,9,9","+0200,1","+0200,1","99999,9","07,1,+00213,1,99,9","08,1,+03048,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00213,1,99,9,99,9","10140,1,99999,9",,,,"MET058METAR SBGR 030200Z 13003KT 9999 BKN007 OVC100 20/20 Q1014=",
"83075099999","2020-01-03T03:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","03048,1,9,N","009999,1,9,9","+0200,1","+0200,1","99999,9","04,1,+00152,1,99,9","08,1,+03048,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00152,1,99,9,99,9","10130,1,99999,9",,,,"MET058METAR SBGR 030300Z 00000KT 9999 SCT005 OVC100 20/20 Q1013=",
