CODE,COUNTRY,ICAO,LAT,LON,ELEV(M),BEGIN,END
01421199999,NO,,+59.850,+006.000,+0024.0,20020314,20020314
01422099999,NO,,+59.167,+006.033,+0025.0,20050101,20200808
01423099999,NO,,+59.167,+006.050,+0050.0,19730101,20041231
01424099999,NO,,+59.650,+006.367,+0006.0,19730101,20200808
01425099999,NO,,+58.517,+006.517,+0066.0,19730101,20200808
01426099999,NO,,+58.433,+005.867,+0049.0,20040425,20200808
01427099999,NO,,+58.117,+006.567,+0014.0,19280101,20200808
01428099999,NO,ENLI,+58.099,+006.626,+0008.8,19730101,20070813
01428199999,NO,ENLA,+59.111,+002.846,+0094.0,20130806,20200808
01430099999,NO,,+58.017,+007.450,+0138.0,19730101,20200808
01431099999,NO,,+58.933,+006.917,+0557.0,20070806,20200808
01432099999,NO,,+58.883,+006.850,+0500.0,19741114,20100331
01432199999,NO,,+58.967,+006.933,+0568.0,20070307,20070307
01433099999,NO,,+59.833,+006.983,+1081.0,19730101,20150528
01434099999,NO,,+59.767,+007.367,+0822.0,20040406,20200808
01435099999,NO,,+59.817,+007.217,+0989.5,19850111,20200808
01436099999,NO,,+57.983,+007.050,+0013.0,19730101,20200808
01439099999,NO,,+58.250,+007.442,+0260.0,19730101,20200808
01440099999,NO,,+59.333,+006.867,+1104.6,19730101,20200808
01441099999,NO,,+59.583,+007.383,+0836.0,19830101,20200808
01442099999,NO,,+58.667,+007.800,+0211.0,19730101,20200808
01444099999,NO,,+59.200,+007.517,+0302.0,20110926,20200808
01445099999,NO,,+59.450,+008.000,+0077.0,19730101,19891113
01446099999,NO,,+59.567,+008.200,+0714.0,19830101,20040731
01447099999,NO,,+59.500,+008.200,+0562.0,20061121,20200808
01448099999,NO,,+58.067,+008.050,+0008.0,19490101,20200808
01449099999,NO,,+58.867,+009.033,+0032.0,20120105,20200808
01450099999,NO,,+59.833,+008.183,+0977.0,19730101,20200808
01452099999,NO,ENCN,+58.204,+008.085,+0017.4,19400501,20200808
01453099999,NO,,+58.600,+008.417,+0162.0,20120105,20200808
01455099999,NO,,+59.033,+008.517,+0252.0,19730101,20200808
01459099999,NO,,+58.650,+008.633,+0142.0,19730101,20200808
01460099999,NO,,+59.433,+010.583,+0014.0,20121102,20200808
01461099999,,,,,,19730101,19740930
01461199999,NO,,+59.850,+008.650,+1803.7,20140605,20181022
01462099999,NO,,+59.083,+009.667,+0090.0,20130729,20200808
01463099999,NO,,+59.650,+010.767,+0089.0,20110929,20200808
01464099999,NO,,+58.333,+008.517,+0006.0,20110928,20200808
01465099999,NO,,+58.400,+008.783,+0015.0,19730101,20200808
01466099999,NO,,+59.967,+011.033,+0109.0,20110928,20200807
01467099999,NO,,+58.633,+009.150,+0005.0,19730101,20200808
01468099999,NO,,+60.183,+012.000,+0148.0,20061003,20200808
01469099999,NO,,+60.167,+010.250,+0140.0,20050719,20200808
01470099999,NO,,+59.383,+009.200,+0093.0,19730101,20200808
01470399999,NO,ENNO,+59.566,+009.212,+0019.2,19901019,20200807
01471099999,NO,,+60.050,+009.150,+0275.0,20061003,20200808
01473099999,NO,,+59.617,+009.633,+0173.0,20040510,20200808
01474099999,NO,,+59.900,+009.533,+0294.0,19730101,20060831
01475099999,NO,ENSN,+59.183,+009.567,+0141.0,19850717,20041230
01476099999,NO,,+58.850,+009.550,+0005.0,19730101,20200708
01477099999,NO,,+59.717,+010.150,+0193.0,19730101,20200808
01478099999,NO,,+58.967,+010.150,+0015.0,19730101,20200808
01480099999,NO,,+59.750,+010.133,+0008.0,20050218,20200808
01481099999,NO,,+59.233,+010.350,+0026.0,19740519,20200808
01482099999,NO,,+59.033,+010.517,+0007.7,19310101,20200808
01482599999,NO,ENTO,+59.187,+010.259,+0087.2,20050101,20200808
01483099999,NO,,+59.183,+010.267,+0088.0,19730101,20200808
01484099999,NO,,+59.917,+011.583,+0128.0,19730101,20200808
01484399999,NO,ENOA,+59.317,+010.450,+0015.0,19901019,20200808
