"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83075099999","2018-01-02T01:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0210,1","99999,9",,,,,,,,,"10130,1,99999,9",,,,,"MET045METAR SBGR 020100Z 30004KT CAVOK 24/21 Q1013=",
"83075099999","2018-01-02T02:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","999999,9,9,9","+0220,1","+0210,1","99999,9",,,,,,,,,"10130,1,99999,9",,,,,"MET045METAR SBGR 020200Z 00000KT CAVOK 22/21 Q1013=",
"83075099999","2018-01-02T03:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0210,1","99999,9",,,,,,,,,"10130,1,99999,9",,,,,"MET045METAR SBGR 020300Z 32003KT CAVOK 23/21 Q1013=",
"83075099999","2018-01-02T04:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","999999,9,9,9","+0220,1","+0210,1","99999,9",,,,,,,,,"10120,1,99999,9",,,,,"MET045METAR SBGR 020400Z 00000KT CAVOK 22/21 Q1012=",
"83075099999","2018-01-02T05:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0210,1","99999,9",,,,,,,,,"10110,1,99999,9",,,,,"MET045METAR SBGR 020500Z 32004KT CAVOK 23/21 Q1011=",
"83075099999","2018-01-02T06:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0010,1","99999,9,9,Y","999999,9,9,9","+0220,1","+0200,1","99999,9",,,,,,,,,"10110,1,99999,9",,,,,"MET045METAR SBGR 020600Z 30002KT CAVOK 22/20 Q1011=",
"83075099999","2018-01-02T07:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","280,1,N,0005,1","99999,9,9,Y","999999,9,9,9","+0210,1","+0200,1","99999,9",,,,,,,,,"10110,1,99999,9",,,,,"MET045METAR SBGR 020700Z 28001KT CAVOK 21/20 Q1011=",
"83075099999","2018-01-02T08:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","340,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0220,1","+0200,1","99999,9",,"02,1,+00701,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00701,1,99,9,99,9",,"10110,1,99999,9",,,,,"MET051METAR SBGR 020800Z 34004KT 9999 FEW023 22/20 Q1011=",
"83075099999","2018-01-02T09:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","340,1,N,0031,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0200,1","99999,9",,,,,,,,,"10110,1,99999,9",,,,,"MET045METAR SBGR 020900Z 34006KT CAVOK 23/20 Q1011=",
"83075099999","2018-01-02T10:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","330,1,N,0036,1","99999,9,9,N","009999,1,9,9","+0240,1","+0210,1","99999,9",,"02,1,+00762,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9",,"10110,1,99999,9",,,,,"MET051METAR SBGR 021000Z 33007KT 9999 FEW025 24/21 Q1011=",
"83075099999","2018-01-02T11:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0031,1","03048,1,9,N","009999,1,9,9","+0240,1","+0210,1","99999,9",,"02,1,+00610,1,99,9","07,1,+03048,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9",,"10110,1,99999,9",,,,,"MET058METAR SBGR 021100Z 31006KT 9999 FEW020 BKN100 24/21 Q1011=",
"83075099999","2018-01-02T12:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0057,1","03048,1,9,N","009999,1,9,9","+0260,1","+0200,1","99999,9",,"04,1,+00610,1,99,9","07,1,+03048,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9",,"10110,1,99999,9",,,,,"MET058METAR SBGR 021200Z 32011KT 9999 SCT020 BKN100 26/20 Q1011=",
"83075099999","2018-01-02T13:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0072,1","00914,1,C,N","009999,1,9,9","+0260,1","+0210,1","99999,9",,"07,1,+00914,1,99,9","07,1,+03048,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00914,1,99,9,99,9",,"10110,1,99999,9",,,,,"MET058METAR SBGR 021300Z 32014KT 9999 BKN030 BKN100 26/21 Q1011=",
"83075099999","2018-01-02T14:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0062,1","99999,9,9,N","009999,1,9,9","+0260,1","+0200,1","99999,9",,"04,1,+00914,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00914,1,99,9,99,9",,"10110,1,99999,9",,,,,"MET051METAR SBGR 021400Z 32012KT 9999 SCT030 26/20 Q1011=",
